street_address,city,state,googlePlaceId,lat,lng
6324 Fairview Road,Charlotte,NC,ChIJVQqyo2ueVogR0WiA0p3I7ek,35.1488237,-80.8352704
120 West Ramapo Road,Mount Ivy,NY,ChIJk9O5DKfEwokR7zkiLLczrKE,41.1941075,-74.01472629999999
7201 Lake Worth Road,Lake Worth,FL,ChIJX0o0xEAm2YgRW_9yKcuJIuQ,26.6180682,-80.16047619999999
912 Gorham Street,Lowell,MA,ChIJM5auqw2k44kR9H2HFELz2L0,42.6295312,-71.307999
800 West Market Street,Louisville,KY,ChIJWfgi0aZyaYgRhectNUX_WJ0,38.2557293,-85.7637007
3400 US Highway 98 North,Lakeland,FL,ChIJKfTv8EBH3YgRIv5aAUOE8W4,28.0857493,-81.97201869999999
3137 Commodore Plaza,Miami,FL,EiwzMTM3IENvbW1vZG9yZSBQbGF6YSwgTWlhbWksIEZsb3JpZGEsINCh0KjQkCJREk8KNAoyCTsqE23Ft9mIEco9Dh_I_mpbGh4LEO7B7qEBGhQKEgkX5v71MLbZiBGfpgOZ521EegwQwRgqFAoSCQFNSWzFt9mIEUQcNtmENXIr,25.7274614,-80.244254
114 South Olive Avenue,West Palm Beach,FL,ChIJf116kYnW2IgRAmJ4SdHprI8,26.7126903,-80.0517023
2323 Main Street,Cedar Falls,IA,ChIJy4jHR09V5YcRES_zRUiNQRs,42.5162232,-92.4462963
139 Carondelet Street,New Orleans,LA,ChIJqWw6bgumIIYRhsfIGPwE4Fs,29.9530499,-90.0708408
39 South York Road,Hatboro,PA,EiczOSBTb3V0aCBZb3JrIFJvYWQsIEhhdGJvcm8sIFBBLCDQodCo0JAiUBJOCjQKMgkLsTBAS67GiREJT18USZB0WhoeCxDuwe6hARoUChIJpeYiZUuuxokRNEEnbpS4YMUMECcqFAoSCcvl7pXMr8aJEeH6mMi81zqC,40.1761597,-75.10619179999999
149 New Montgomery Street,San Francisco,CA,ChIJnznKO32AhYARk0-NxEeu6aI,37.7869445,-122.3995976
2027 Florida 7,Davie,FL,ChIJ-SQeA1sH2YgROzMGlxd9HBg,26.0948539,-80.20167219999999
3121 West Olympic Boulevard,Los Angeles,CA,ChIJCdxvoIC4woARve5y-evafx4,34.0529463,-118.3039563
4616 West 103rd Street,Oak Lawn,IL,ChIJ5y5yjPg6DogR0MaQDgJQpAU,41.7062992,-87.7361978
226 Gap Road,Strasburg,PA,ChIJp8oOeO05xokR6hDtVkpt2eU,39.9821854,-76.16632790000001
4671 Trousdale Drive,Nashville,TN,ChIJmRE8vXNlZIgRd4pzhVMHFEo,36.0822846,-86.7586267
2704 Hartnell Avenue,Redding,CA,ChIJTQKOE6yU0lQRByr-zdWSuoI,40.5643575,-122.3208194
2020 Fieldstone Parkway,Franklin,TN,ChIJX0GfiuB9ZIgRU6SaRY4KNr0,35.96463019999999,-86.8831063
7777 Girard Avenue,San Diego,CA,ChIJ03Z1VeMD3IARlwNGeSvdKqg,32.8446422,-117.2736582
2256 East Route 66,Glendora,CA,ChIJAWcLyVAvw4ARdUg-JSH4yik,34.125953,-117.8210485
795 Woodlake Road,Kohler,WI,ChIJL0rou86gBIgRHdYm2Eo1Dmo,43.7443453,-87.78179039999999
1 Heritage Hills Drive,Heritage Hills,NY,ChIJtYwJRUWywokR2U6GSzGOygU,41.3286737,-73.6892914
9515 Riverbend Village Drive,Charlotte,NC,ChIJ80_khmKkVogRWIo7zb-2r00,35.3269031,-80.94237460000001
324 U.S. 377,Roanoke,TX,EiEzMjQgVS5TLiAzNzcsIFJvYW5va2UsIFRYLCDQodCo0JAiURJPCjQKMgm5yfoQ-dBNhhFO3BdTEtSsoBoeCxDuwe6hARoUChIJeUGIEb4lTIYRvcI4Mh3leF4MEMQCKhQKEgk1TCok6GhRhhGtY-LuXYdZ4g,33.0013755,-97.2285785
3939 Interstate 35 Frontage Road,San Marcos,TX,ChIJSep1JQumXIYRsJUfksL_sdA,29.8287208,-97.9803606
3525 North Causeway Boulevard,Metairie,LA,ChIJ803ITCmwIIYRouHIkr46PDU,30.0135691,-90.1542166
11301 Westport Road,Louisville,KY,EisxMTMwMSBXZXN0cG9ydCBSb2FkLCBMb3Vpc3ZpbGxlLCBLWSwg0KHQqNCQIlESTwo0CjIJQb9A9pWeaYgROQ7qPYtvsYkaHgsQ7sHuoQEaFAoSCWc3IhxlnmmIET9XaVC9M1MADBClWCoUChIJCTScZUqeaYgRNj-jj7TGj7g,38.2995945,-85.5408748
